epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.2355148792266846,2.450922966003418,6.007022857666016
0,0,,,,2.346501350402832,2.428046464920044,5.895409107208252,,,
1,1,,,,,,,2.2350823879241943,2.450451135635376,6.0047101974487305
1,1,,,,2.345909357070923,2.4274747371673584,5.892633438110352,,,
2,2,,,,,,,2.2346489429473877,2.4499781131744385,6.002392768859863
2,2,,,,2.34531569480896,2.4269020557403564,5.889853477478027,,,
3,3,,,,,,,2.2342147827148438,2.4495043754577637,6.000072002410889
3,3,,,,2.3447213172912598,2.426328182220459,5.887068271636963,,,
4,4,,,,,,,2.2337794303894043,2.4490296840667725,5.997746467590332
4,4,,,,2.344125270843506,2.425753355026245,5.884278774261475,,,
5,5,2.213639974594116,2.3460512161254883,5.5039567947387695,,,,,,
